Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01341","Apples","2015","2015","t","32400","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01341","Apples","2015","2015","1000 USD","15918","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01341","Apples","2016","2016","t","92335.56","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01341","Apples","2016","2016","1000 USD","31176","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01341","Apples","2016","2016","t","61526.03","I","Imputed value",""
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01341","Apples","2016","2016","1000 USD","25793","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01341","Apples","2017","2017","t","5309","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01341","Apples","2017","2017","1000 USD","843","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01341","Apples","2017","2017","t","22755","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01341","Apples","2017","2017","1000 USD","15087","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01341","Apples","2018","2018","t","7835","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01341","Apples","2018","2018","1000 USD","1384","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01341","Apples","2018","2018","t","19329","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01341","Apples","2018","2018","1000 USD","10924","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01341","Apples","2019","2019","t","3786.08","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01341","Apples","2019","2019","1000 USD","690","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01341","Apples","2019","2019","t","23477","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01341","Apples","2019","2019","1000 USD","10576","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01341","Apples","2020","2020","t","134806.19","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01341","Apples","2020","2020","1000 USD","60572","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01341","Apples","2020","2020","t","62624.94","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01341","Apples","2020","2020","1000 USD","41384","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01341","Apples","2021","2021","t","144711.39","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01341","Apples","2021","2021","1000 USD","57834","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01341","Apples","2021","2021","t","52093.52","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01341","Apples","2021","2021","1000 USD","33595","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01341","Apples","2022","2022","t","124777","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01341","Apples","2022","2022","1000 USD","43810","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01341","Apples","2022","2022","t","29814.84","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01341","Apples","2022","2022","1000 USD","12677","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01341","Apples","2023","2023","t","135000","E","Estimated value",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01341","Apples","2023","2023","1000 USD","54000","E","Estimated value",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01341","Apples","2023","2023","t","47764.69","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01341","Apples","2023","2023","1000 USD","35814","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01312","Bananas","2015","2015","t","142518","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01312","Bananas","2015","2015","1000 USD","27047","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01312","Bananas","2015","2015","t","2.09","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01312","Bananas","2015","2015","1000 USD","1","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01312","Bananas","2016","2016","t","29730","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01312","Bananas","2016","2016","1000 USD","5232","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01312","Bananas","2017","2017","t","132929","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01312","Bananas","2017","2017","1000 USD","13735","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01312","Bananas","2018","2018","t","143248","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01312","Bananas","2018","2018","1000 USD","14706","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01312","Bananas","2019","2019","t","197204.45","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01312","Bananas","2019","2019","1000 USD","19029","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01312","Bananas","2019","2019","t","31.16","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01312","Bananas","2019","2019","1000 USD","5","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01312","Bananas","2020","2020","t","97314.17","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01312","Bananas","2020","2020","1000 USD","28356","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01312","Bananas","2020","2020","t","0.4","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01312","Bananas","2020","2020","1000 USD","1","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01312","Bananas","2021","2021","t","50271.21","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01312","Bananas","2021","2021","1000 USD","18796","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01312","Bananas","2022","2022","t","96839.56","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01312","Bananas","2022","2022","1000 USD","22209","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01312","Bananas","2022","2022","t","0.07","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01312","Bananas","2022","2022","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01312","Bananas","2023","2023","t","66825.67","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01312","Bananas","2023","2023","1000 USD","11015","X","Figure from international organizations","Estimated data using trading partners database"
